Date,Open,High,Low,Close,Adj Close,Volume,Returns,Daily_Return,SP500,T10Y3M,DGS10,DEXUSEU,CBBTCUSD,T10YIE,VIXCLS,DAAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,DGS1,RSI_14,OBV,Close_EMA_50,ROC_10,Momentum_10,SMA_50,SMA_200,VIX_Close
2021-08-31,566.1199951171875,569.47998046875,561.6099853515625,569.1900024414062,569.1900024414062,2431900.0,3.010009765625,0.0053022659230448355,4522.68,1.26,1.3,1.18,47065.73,2.33,16.48,2.54,0.08411,2.48,3.21,0.07,89.54186619341218,19382400.0,529.2848189097986,9.689547686313315,50.280029296875,528.6027990722656,518.5086994934082,16.479999542236328
2021-09-01,569.0,591.0,569.0,582.0700073242188,582.0700073242188,5626200.0,12.8800048828125,0.022376426162717955,4524.09,1.26,1.31,1.185,48889.19,2.34,16.11,2.54,0.09287000000000001,2.48,3.19,0.07,92.97679580922396,25008600.0,531.3548262985994,11.535442307525878,60.20001220703125,530.30419921875,518.8979995727539,16.110000610351562
2021-09-02,583.6799926757812,598.760009765625,583.6799926757812,588.5499877929688,588.5499877929688,6179900.0,6.47998046875,0.011071136121498348,4536.95,1.24,1.29,1.1858,49273.33,2.32,16.41,2.51,0.09991000000000001,2.47,3.16,0.07,93.08344786336917,31188500.0,533.5977738081825,8.247036841003364,44.8399658203125,531.898798828125,519.4620495605469,16.40999984741211
2021-09-03,585.7999877929688,591.8800048828125,583.1400146484375,590.530029296875,590.530029296875,2681200.0,1.98004150390625,0.003358624243485764,4535.43,1.28,1.33,1.1884,49919.31,2.34,16.41,2.54,0.09019,2.48,3.14,0.08,93.08180974723307,33869700.0,535.8304112783273,7.981645703688867,43.6500244140625,533.454599609375,519.9940997314453,16.40999984741211
2021-09-08,603.8400268554688,615.5999755859375,595.7100219726562,606.0499877929688,606.0499877929688,5424500.0,-0.6600341796875,-0.0010884828647705902,4514.07,1.3,1.35,1.1818,46022.48,2.38,17.96,2.55,0.09772,2.53,3.16,0.08,89.02604781056588,28445200.0,541.3592707198019,10.677886131394665,52.719970703125,535.2143994140625,520.5882496643067,17.959999084472656
2021-09-09,606.469970703125,609.4400024414062,596.5499877929688,597.5399780273438,597.5399780273438,2954200.0,-8.510009765625,-0.01414128037482243,4493.28,1.26,1.3,1.1827,46414.58,2.38,18.8,2.51,0.09212000000000001,2.55,3.15,0.07,76.73696565824845,25491000.0,543.5624357122545,8.61993443813196,44.1300048828125,536.623798828125,521.0911994934082,18.799999237060547
2021-09-10,598.1599731445312,609.4500122070312,593.6699829101562,598.719970703125,598.719970703125,3950800.0,1.17999267578125,0.00197280375346498,4458.58,1.3,1.35,1.1821,44897.75,2.4,20.95,2.51,0.0844,2.55,3.11,0.08,74.6664247662087,29441800.0,545.7254763001317,7.120874008787492,51.13995361328125,537.93759765625,521.5159992980957,20.950000762939453
2021-09-13,598.5700073242188,598.5700073242188,582.780029296875,589.2899780273438,589.2899780273438,3062900.0,-9.42999267578125,-0.015875609025576054,4468.73,1.27,1.33,1.1809,44969.02,2.37,19.37,2.48,0.09293000000000001,2.53,3.09,0.07,64.3669872436875,26378900.0,547.4338881325715,4.081738254710143,39.16998291015625,539.0533972167968,521.8887992858887,19.3700008392334
2021-09-14,584.8900146484375,587.280029296875,575.5599975585938,577.760009765625,577.760009765625,3457000.0,-11.52996826171875,-0.019759810695922475,4443.05,1.24,1.28,1.1824,47096.48,2.33,19.46,2.42,0.09229000000000001,2.49,3.11,0.07,59.42633864726517,22921900.0,548.6231478044559,1.5056496578400358,18.84002685546875,540.0443969726563,522.4250993347168,19.459999084472656
2021-09-15,578.1699829101562,584.6199951171875,575.3699951171875,582.8699951171875,582.8699951171875,2755600.0,5.1099853515625,0.00880559411423043,4480.7,1.27,1.31,1.1811,48106.71,2.35,18.18,2.44,0.08662,2.51,3.08,0.07,60.78355046104055,25677500.0,549.9661614245631,0.13743841512232624,16.69000244140625,541.0309973144531,522.9382493591309,18.18000030517578
2021-09-16,584.2999877929688,587.47998046875,577.719970703125,586.5,586.5,1832000.0,3.6300048828125,0.006208499547589064,4473.75,1.3,1.34,1.1764,47772.7,2.35,18.69,2.45,0.08375,2.53,3.06,0.07,57.95424154102198,27509500.0,551.3988609765411,-0.3483115853346819,17.30999755859375,542.0813977050781,523.4368994140625,18.690000534057617
